customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup
8270-TOKHU,Female,No,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.77,776.06,No,25-48 months
6734-ZSWKK,Female,Yes,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,94.05,3210.89,Yes,25-48 months
9322-VUBXL,Female,No,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.33,6864.68,No,49+ months
7949-BUALZ,Male,Yes,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.49,813.57,No,0-12 months
7396-LYQJP,Male,No,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.04,724.83,No,0-12 months
1189-OSLWT,Female,Yes,No,No,18,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.11,1170.88,No,13-24 months
2528-CESGU,Male,No,No,No,41,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),87.6,3581.93,No,25-48 months
6393-DYNRZ,Female,No,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.97,548.84,No,25-48 months
8513-UBTOG,Female,No,No,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),67.09,1348.56,No,13-24 months
1775-OCNQD,Male,No,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.83,544.48,No,25-48 months
2585-HDBFV,Female,No,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.39,269.71,No,13-24 months
4843-VRZLB,Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.31,774.03,No,25-48 months
5297-DNPOH,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),86.73,83.14,No,0-12 months
8629-WYHUP,Female,Yes,Yes,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.39,1141.74,No,13-24 months
8916-ROUXZ,Female,No,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),85.19,3325.34,No,25-48 months
5859-MIOMA,Female,Yes,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),75.26,616.24,No,0-12 months
9006-IXALH,Male,No,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.71,1386.45,No,25-48 months
6258-SQHCC,Female,No,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.51,3039.08,No,25-48 months
6892-JGZIG,Male,No,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,354.0,No,13-24 months
9392-HLBAP,Male,Yes,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,77.6,470.36,Yes,0-12 months
3454-XECLH,Male,No,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.47,1114.08,Yes,25-48 months
9154-CACEO,Male,No,Yes,Yes,0,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),60.34,0.0,No,0-12 months
4840-EZWNG,Male,No,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),89.23,1857.78,Yes,13-24 months
7938-IOOZJ,Female,No,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.1,3192.31,Yes,25-48 months
8035-MSGQT,Female,Yes,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.96,1325.17,No,13-24 months
6116-DEWGM,Male,No,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),88.36,171.49,No,0-12 months
2678-KDMGS,Female,No,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.98,3061.5,No,25-48 months
4157-BJMYU,Male,No,Yes,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.57,4302.32,No,49+ months
3693-LLTKZ,Female,No,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),98.07,1864.33,No,13-24 months
6592-GAAYY,Male,No,Yes,No,37,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.0,2235.03,No,25-48 months
6864-CGFHI,Male,No,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.84,1702.52,No,13-24 months
5413-EASJL,Male,No,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.27,1847.6,Yes,13-24 months
1663-OVXIT,Female,No,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.63,289.69,No,0-12 months
6232-QZTLG,Female,No,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.07,1278.94,No,13-24 months
8554-QEQXQ,Male,No,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,89.05,2401.82,No,25-48 months
1698-QBBVW,Male,Yes,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.99,293.49,No,13-24 months
9164-AASBU,Female,No,No,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,66.85,1532.11,No,13-24 months
2707-ZFWDW,Female,No,No,No,54,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),60.49,3251.44,No,49+ months
1202-XQFXE,Male,No,Yes,No,10,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,95.13,969.23,No,0-12 months
3931-BFVKP,Male,No,No,No,42,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),57.5,2410.18,No,25-48 months
7287-AIFPC,Male,No,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.82,0.0,No,0-12 months
1659-DSZCS,Female,No,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.17,1456.25,No,25-48 months
3911-GTIAH,Male,Yes,Yes,Yes,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,66.76,138.54,No,0-12 months
6759-GRHAK,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,79.02,716.98,No,0-12 months
9155-YYRWJ,Female,No,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.04,437.47,No,13-24 months
1262-PZPYT,Male,No,No,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.34,1838.7,No,25-48 months
3049-APLEE,Female,No,Yes,No,72,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),68.33,4923.12,No,49+ months
8158-IICSP,Male,No,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),22.3,176.28,No,0-12 months
3255-CTXVX,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),77.81,159.17,No,0-12 months
