customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-TOKHU,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),26.77,776.06,No
6734-ZSWKK,Female,1,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,94.05,3210.89,Yes
9322-VUBXL,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.33,6864.68,No
7949-BUALZ,Male,1,Yes,No,11,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.49,813.57,No
7396-LYQJP,Male,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.04,724.83,No
1189-OSLWT,Female,1,No,No,18,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.11,1170.88,No
2528-CESGU,Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),87.6,3581.93,No
6393-DYNRZ,Female,0,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.97,548.84,No
8513-UBTOG,Female,0,No,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),67.09,1348.56,No
1775-OCNQD,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.83,544.48,No
2585-HDBFV,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.39,269.71,No
4843-VRZLB,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.31,774.03,No
5297-DNPOH,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),86.73,83.14,No
8629-WYHUP,Female,1,Yes,No,17,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.39,1141.74,No
8916-ROUXZ,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),85.19,3325.34,No
5859-MIOMA,Female,1,No,No,8,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),75.26,616.24,No
9006-IXALH,Male,0,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),31.71,1386.45,No
6258-SQHCC,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,84.51,3039.08,No
6892-JGZIG,Male,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,354.0,No
9392-HLBAP,Male,1,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,77.6,470.36,Yes
3454-XECLH,Male,0,No,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.47,1114.08,Yes
9154-CACEO,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),60.34, ,No
4840-EZWNG,Male,0,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),89.23,1857.78,Yes
7938-IOOZJ,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.1,3192.31,Yes
8035-MSGQT,Female,1,Yes,No,15,Yes,,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.96,1325.17,No
6116-DEWGM,Male,0,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),88.36,171.49,No
2678-KDMGS,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.98,3061.5,No
4157-BJMYU,Male,0,Yes,No,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.57,4302.32,No
3693-LLTKZ,Female,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),98.07,1864.33,No
6592-GAAYY,Male,0,Yes,No,37,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),60.0,2235.03,No
6864-CGFHI,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),77.84,1702.52,No
5413-EASJL,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.27,1847.6,Yes
1663-OVXIT,Female,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.63,289.69,No
6232-QZTLG,Female,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.07,1278.94,No
8554-QEQXQ,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,89.05,2401.82,No
1698-QBBVW,Male,1,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.99,293.49,No
9164-AASBU,Female,0,No,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,66.85,1532.11,No
2707-ZFWDW,Female,0,No,No,54,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),60.49,3251.44,No
1202-XQFXE,Male,0,Yes,No,10,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,95.13,969.23,No
3931-BFVKP,Male,0,No,No,42,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),57.5,2410.18,No
7287-AIFPC,Male,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.82, ,No
1659-DSZCS,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.17,1456.25,No
3911-GTIAH,Male,1,Yes,Yes,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,66.76,138.54,No
6759-GRHAK,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,79.02,716.98,No
